Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5001_322,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.281704,0.1875,0.05,0.2,0.35,2.4,0,0,0.88,0.08,0,4.9761848,1.2440462,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_323,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.375713,0.249938,0.033,0.132,0.231,1.2,0,0,2.08,0.08,0,4.9761848,1.2440462,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_331,PP (hot)|0-15yr|WF,0.016656,0.0,0,0.0938,0.0625,0.025,0.1,0.175,2.2,0,0,0.055,0.055,0,2.488092,0.622023,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_332,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.140739,0.09375,0.025,0.1,0.175,1.65,0,0,0.605,0.055,0,2.488092,0.622023,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_333,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.375854,0.250031,0.033,0.132,0.231,0.825,0,0,1.43,0.055,0,2.488092,0.622023,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_411,PP (hot)|0-15yr|WF,0.416406,0.0,0,0.338154,0.25,0.15,0.6,1.05,8,0,0,0.1,0.1,0,5.2155776000000005,1.3038944000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_412,PP (hot)|0-15yr|WF,0.416406,0.0,0,0.372041,0.275,0.1125,0.45,0.7875,6,0,0,2.1,0.1,0,5.2155776000000005,1.3038944000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_413,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.37577,0.275,0.028125,0.1125,0.196875,3,0,0,5.1,0.1,0,5.2155776000000005,1.3038944000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_421,PP (hot)|0-15yr|WF,0.599625,0.0,0,0.262896,0.25,0.2,1,2,10,6.5,7.5,0.1,0.1,0,3.4444128000000003,0.8611032000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_422,PP (hot)|0-15yr|WF,0.599625,0.0,0,0.341918,0.3,0.15,0.75,1.5,7.5,4.875,5.625,2.6,1.725,1.875,3.4444128000000003,0.8611032000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_423,PP (hot)|0-15yr|WF,0.337289,0.0,0,0.444755,0.3,0.0375,0.1875,0.375,3.75,2.4375,2.8125,6.35,4.1625,4.6875,3.4444128000000003,0.8611032000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_431,PP (hot)|0-15yr|WF,1.066,0.0,0,0.187702,0.25,0.3,1.2,2.1,16,6.5,7.5,0.1,0.1,0,1.6732504,0.4183126,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_432,PP (hot)|0-15yr|WF,1.066,0.0,0,0.281704,0.375,0.225,0.9,1.575,12.000001,4.875,5.625,4.1,1.725,1.875,1.6732504,0.4183126,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_433,PP (hot)|0-15yr|WF,0.599625,0.0,0,0.422897,0.375,0.05625,0.225,0.39375,6,2.4375,2.8125,10.1,4.1625,4.6875,1.6732504,0.4183126,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_511,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.375807,0.25,0.1,0.4,0.7,4,0,0,0.1,0.1,0,6.1011584,1.5252896,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_512,PP (hot)|0-15yr|WF,0.322465,0.0,0,0.375807,0.25,0.11,0.44,0.77,4,0,0,0.1,0.1,0,6.1011576000000005,1.5252894000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_513,PP (hot)|0-15yr|WF,0.266447,0.0,0,0.375807,0.25,0.121,0.484,0.847,3,0,0,1.1,0.1,0,5.245096,1.311274,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_521,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.375807,0.25,0.1,0.4,0.7,4,0,0,0.1,0.1,0,6.1011584,1.5252896,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_522,PP (hot)|0-15yr|WF,0.599625,0.0,0,0.375807,0.3125,1,2,3,4,0,0,0.1,0.1,0,6.1011576000000005,1.5252894000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_523,PP (hot)|0-15yr|WF,0.266767,0.0,0,0.375807,0.3125,1.25,2.5,3.75,5,4,4,1.1,0.1,0,3.3853744,0.8463436,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_531,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.375807,0.25,0.1,0.4,0.7,4,0,0,0.1,0.1,0,6.1011584,1.5252896,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_532,PP (hot)|0-15yr|WF,1.066,0.0,0,0.470011,0.35,1,2,3,4,0,0,0.1,0.1,0,6.1011568,1.5252892,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_533,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.470011,0.35,1.5,3,4.5,8,4,4,1.1,0.1,0,1.5256536,0.3814134,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002_111,PP (hot)|15-40yr|PCT,0.242578,0.855,0.15,0.564316,0.05,0.1,0.75,1.7,3.06,0.45,0,1.8,0.72,0,7.2388840000000005,1.8097210000000001,User Supplied,User Supplied,User Supplied,User Supplied
