Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5150_312,PP DF WL|80-150yr|SC-Rx,0.770615,0.54,0.15,0.102551,1.2375,0.6,0.9,0.075,0.2025,0.135,0,0.7875,0.495,0,10.807405600000003,2.7018514000000007,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_313,PP DF WL|80-150yr|SC-Rx,0.770615,0.54,0.15,0.109422,1.1001379999999998,0.7998,1.1997,0.099975,0.10125,0.0675,0,0.88875,0.5625,0,10.807405600000003,2.7018514000000007,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_321,PP DF WL|80-150yr|SC-Rx,0.19275,0.24,0.1,0.054694,0.55,0.4,0.6,0.05,0.24,0.16,0,0.64,0.4,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_322,PP DF WL|80-150yr|SC-Rx,0.771,0.24,0.1,0.082041,0.825,0.4,0.6,0.05,0.18,0.12,0,0.7,0.44,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_323,PP DF WL|80-150yr|SC-Rx,0.771,0.24,0.1,0.10936,1.099725,0.264,0.396,0.033,0.09,0.06,0,0.79,0.5,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_331,PP DF WL|80-150yr|SC-Rx,0.048187,0.1,0.05,0.027347,0.275,0.2,0.3,0.025,0.165,0.11,0,0.44,0.275,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_332,PP DF WL|80-150yr|SC-Rx,0.771,0.1,0.05,0.04102,0.4125,0.2,0.3,0.025,0.12375,0.0825,0,0.48125,0.3025,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_333,PP DF WL|80-150yr|SC-Rx,0.771,0.1,0.05,0.109401,1.1001379999999998,0.264,0.396,0.033,0.061875,0.04125,0,0.543125,0.34375,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_411,PP DF WL|80-150yr|SC-Rx,1.204687,0.96,0.2,0.098449,1.1,1.2,1.8,0.15,0.6,0.4,0,0.8,0.5,0,9.9098392,2.4774598,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_412,PP DF WL|80-150yr|SC-Rx,1.204687,1.5,0.25,0.108294,1.2100000000000002,0.9,1.35,0.1125,0.45,0.3,0,0.95,0.6,0,9.9098392,2.4774598,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_413,PP DF WL|80-150yr|SC-Rx,0.771,1.5,0.25,0.109377,1.2100000000000002,0.225,0.3375,0.028125,0.225,0.15,0,1.175,0.75,0,9.9098392,2.4774598,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_421,PP DF WL|80-150yr|SC-Rx,1.73475,0.96,0.2,0.076571,1.1,1.6,2.4,2,3,6.5,0,0.8,0.5,0,6.412252000000001,1.6030630000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_422,PP DF WL|80-150yr|SC-Rx,1.73475,2.16,0.3,0.099543,1.3199999999999998,1.2,1.8,1.5,2.25,4.875,0,1.55,2.125,0,6.412252000000001,1.6030630000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_423,PP DF WL|80-150yr|SC-Rx,0.975797,2.16,0.3,0.129406,1.3199999999999998,0.3,0.45,0.375,1.125,2.4375,0,2.675,4.5625,0,6.412252000000001,1.6030630000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_431,PP DF WL|80-150yr|SC-Rx,2.57,0.96,0.2,0.054694,1.1,2.4,3.6,2,3,6.5,0,0.8,0.5,0,2.9146584000000004,0.7286646000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_432,PP DF WL|80-150yr|SC-Rx,2.57,3.2,0.4,0.082041,1.65,1.8,2.7,1.5,2.25,4.875,0,1.55,2.125,0,2.9146584000000004,0.7286646000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_433,PP DF WL|80-150yr|SC-Rx,1.445625,3.2,0.4,0.123061,1.65,0.45,0.675,0.375,1.125,2.4375,0,2.675,4.5625,0,2.9146584000000004,0.7286646000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_511,PP DF WL|80-150yr|SC-Rx,0.771,0.96,0.2,0.109388,1.1,0.8,1.2,0.1,0.3,0.2,0,0.8,0.5,0,11.6494552,2.9123638,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_512,PP DF WL|80-150yr|SC-Rx,0.93291,0.96,0.2,0.109388,1.1,0.88,1.32,0.11,0.3,0.2,0,0.8,0.5,0,11.645322400000001,2.9113306000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_513,PP DF WL|80-150yr|SC-Rx,0.770846,0.96,0.2,0.109388,1.1,0.968,1.452,0.121,0.225,0.15,0,0.875,0.55,0,9.968139200000001,2.4920348000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_521,PP DF WL|80-150yr|SC-Rx,0.771,0.96,0.2,0.109388,1.1,0.8,1.2,0.1,0.3,0.2,0,0.8,0.5,0,11.621893600000002,2.9054734000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_522,PP DF WL|80-150yr|SC-Rx,1.73475,0.96,0.2,0.109388,1.375,1,2,3,0.3,0.2,0,0.8,0.5,0,11.616385600000001,2.9040964000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_523,PP DF WL|80-150yr|SC-Rx,0.771771,1.1616,0.22,0.109388,1.375,1.25,2.5,3.75,4,4,4,0.875,0.55,0,6.2956664,1.5739166,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_531,PP DF WL|80-150yr|SC-Rx,0.771,0.96,0.2,0.109388,1.1,0.8,1.2,0.1,0.3,0.2,0,0.8,0.5,0,11.589744800000002,2.8974362000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_532,PP DF WL|80-150yr|SC-Rx,2.57,0.96,0.2,0.136735,1.54,1.4,2.1,3,0.3,0.2,0,0.8,0.5,0,11.587450400000002,2.8968626000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5150_533,PP DF WL|80-150yr|SC-Rx,0.6425,1.6224,0.26,0.136735,1.54,2.1,3.15,4.5,4,4,4,0.875,0.55,0,2.6231936,0.6557984,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_111,PP DF WL|80-150yr|SC,0.57825,1.08,0.225,0.050944,0.55,0.4,1.35,2.5,5.13,0.18,0,1.8,1.8,0,11.6494552,2.9123638,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_112,PP DF WL|80-150yr|SC,1.027486,1.08,0.225,0.064852,1.1,0.5,1.6875,3.125,3.8475,0.135,0,3.0825,1.845,0,10.492776800000001,2.6231942000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_113,PP DF WL|80-150yr|SC,1.027486,1.08,0.225,0.109388,1.1,0.8,2.7,5,1.92375,0.0675,0,5.00625,1.9125,0,10.492776800000001,2.6231942000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_121,PP DF WL|80-150yr|SC,0.06425,0.12,0.075,0.024534,0.275,0.2,0.675,1.25,4.275,0.15,0,1.5,1.5,0,11.621893600000002,2.9054734000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_122,PP DF WL|80-150yr|SC,0.257,0.12,0.075,0.050944,1.1,0.25,0.84375,1.5625,3.20625,0.1125,0,2.56875,1.5375,0,11.616385600000001,2.9040964000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_123,PP DF WL|80-150yr|SC,1.028,0.12,0.075,0.109388,1.1,0.264,0.891,1.65,1.603125,0.05625,0,4.171875,1.59375,0,6.2956664,1.5739166,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_131,PP DF WL|80-150yr|SC,0.00257,0.1,0.015,0.004757,0.055,0.04,0.135,0.25,2.85,0.1,0,1,1,0,11.589744800000002,2.8974362000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_132,PP DF WL|80-150yr|SC,0.257,0.1,0.015,0.050944,1.1,0.06,0.2025,0.375,2.1375,0.075,0,1.7125,1.025,0,11.587450400000002,2.8968626000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_133,PP DF WL|80-150yr|SC,1.028,0.1,0.015,0.109388,1.1,0.264,0.891,1.65,1.06875,0.0375,0,2.78125,1.0625,0,2.6231936,0.6557984,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_211,PP DF WL|80-150yr|SC,1.60625,1.92,0.3,0.082041,0.825,1,3.375,6.25,5.7,0.2,0,2,2,0,10.807405600000003,2.7018514000000007,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_212,PP DF WL|80-150yr|SC,1.60625,1.92,0.3,0.090245,1.03125,0.75,2.53125,4.6875,4.275,0.15,0,3.425,2.05,0,10.807405600000003,2.7018514000000007,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_213,PP DF WL|80-150yr|SC,1.60625,1.92,0.3,0.099269,1.289063,0.375,1.265625,2.34375,4.275,0.15,0,5.5625,2.125,0,10.807405600000003,2.7018514000000007,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_221,PP DF WL|80-150yr|SC,1.9275,1.92,0.3,0.054694,0.55,1.2,4.050001,7.5,5.7,0.2,0,2,2,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_222,PP DF WL|80-150yr|SC,1.9275,1.92,0.3,0.068367,0.825,0.9,3.0375,5.625,4.275,0.15,0,3.425,2.05,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_223,PP DF WL|80-150yr|SC,1.9275,2.7648,0.36,0.085459,1.2375,0.45,1.51875,2.8125,4.275,0.15,0,5.5625,2.125,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_231,PP DF WL|80-150yr|SC,2.24875,1.92,0.3,0.027347,0.275,1.6,5.4,10,5.7,0.2,0,2,2,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_232,PP DF WL|80-150yr|SC,2.24875,1.92,0.3,0.04102,0.4125,1.2,4.050001,7.5,4.275,0.15,0,3.425,2.05,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_233,PP DF WL|80-150yr|SC,2.24875,3.36,0.42,0.061531,0.61875,0.6,2.025,3.75,4.275,0.15,0,5.5625,2.125,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_311,PP DF WL|80-150yr|SC,0.57825,1.08,0.225,0.082041,0.825,0.6,2.025,3.75,5.13,0.18,0,1.8,1.8,0,10.807405600000003,2.7018514000000007,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_312,PP DF WL|80-150yr|SC,1.027486,1.08,0.225,0.102551,1.2375,0.6,2.025,3.75,3.8475,0.135,0,3.0825,1.845,0,10.807405600000003,2.7018514000000007,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_313,PP DF WL|80-150yr|SC,1.027486,1.08,0.225,0.109422,1.1001379999999998,0.7998,2.699325,4.99875,1.92375,0.0675,0,5.00625,1.9125,0,10.807405600000003,2.7018514000000007,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_321,PP DF WL|80-150yr|SC,0.257,0.48,0.15,0.054694,0.55,0.4,1.35,2.5,4.56,0.16,0,1.6,1.6,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_322,PP DF WL|80-150yr|SC,1.028,0.48,0.15,0.082041,0.825,0.4,1.35,2.5,3.42,0.12,0,2.74,1.64,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_323,PP DF WL|80-150yr|SC,1.028,0.48,0.15,0.10936,1.099725,0.264,0.891,1.65,1.71,0.06,0,4.45,1.7,0,9.5904352,2.3976088,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_331,PP DF WL|80-150yr|SC,0.06425,0.12,0.075,0.027347,0.275,0.2,0.675,1.25,3.135,0.11,0,1.1,1.1,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_332,PP DF WL|80-150yr|SC,1.028,0.12,0.075,0.04102,0.4125,0.2,0.675,1.25,2.35125,0.0825,0,1.88375,1.1275,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_333,PP DF WL|80-150yr|SC,1.028,0.12,0.075,0.109401,1.1001379999999998,0.264,0.891,1.65,1.175625,0.04125,0,3.059375,1.16875,0,4.7952184,1.1988046,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_411,PP DF WL|80-150yr|SC,1.60625,1.92,0.3,0.098449,1.1,1.2,4.050001,7.5,11.400001,0.4,0,2,2,0,9.9098392,2.4774598,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_412,PP DF WL|80-150yr|SC,1.60625,3.0,0.375,0.108294,1.2100000000000002,0.9,3.0375,5.625,8.55,0.3,0,4.85,2.1,0,9.9098392,2.4774598,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_413,PP DF WL|80-150yr|SC,1.028,3.0,0.375,0.109377,1.2100000000000002,0.225,0.759375,1.40625,4.275,0.15,0,9.125,2.25,0,9.9098392,2.4774598,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_421,PP DF WL|80-150yr|SC,1.9275,1.92,0.3,0.076571,1.1,1.6,5.4,10,14.250001,6.5,0,2,2,0,6.412252000000001,1.6030630000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_422,PP DF WL|80-150yr|SC,1.9275,3.6,0.45,0.099543,1.3199999999999998,1.2,4.050001,7.5,10.687501,4.875,0,5.5625,3.625,0,6.412252000000001,1.6030630000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_423,PP DF WL|80-150yr|SC,1.084219,3.6,0.45,0.129406,1.3199999999999998,0.3,1.0125,1.875,5.34375,2.4375,0,10.906251,6.0625,0,6.412252000000001,1.6030630000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_431,PP DF WL|80-150yr|SC,2.57,1.92,0.3,0.054694,1.1,2.4,8.100001,15.000001,22.800001,6.5,0,2,2,0,2.9146584000000004,0.7286646000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_432,PP DF WL|80-150yr|SC,2.57,4.8,0.6,0.082041,1.65,1.8,6.075,11.250001,17.1,4.875,0,7.7,3.625,0,2.9146584000000004,0.7286646000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_433,PP DF WL|80-150yr|SC,1.445625,4.8,0.6,0.123061,1.65,0.45,1.51875,2.8125,8.55,2.4375,0,16.25,6.0625,0,2.9146584000000004,0.7286646000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_511,PP DF WL|80-150yr|SC,1.028,1.92,0.3,0.109388,1.1,0.8,2.7,5,5.7,0.2,0,2,2,0,11.6494552,2.9123638,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_512,PP DF WL|80-150yr|SC,1.24388,1.92,0.3,0.109388,1.1,0.88,2.97,5.5,5.7,0.2,0,2,2,0,11.645322400000001,2.9113306000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_513,PP DF WL|80-150yr|SC,1.027794,1.92,0.3,0.109388,1.1,0.968,3.267,6.05,4.275,0.15,0,3.425,2.05,0,9.968139200000001,2.4920348000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_521,PP DF WL|80-150yr|SC,1.028,1.92,0.3,0.109388,1.1,0.8,2.7,5,5.7,0.2,0,2,2,0,11.621893600000002,2.9054734000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_522,PP DF WL|80-150yr|SC,1.9275,1.92,0.3,0.109388,1.375,1,3.375,6.25,5.7,0.2,0,2,2,0,11.616385600000001,2.9040964000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_523,PP DF WL|80-150yr|SC,0.857524,2.3232,0.33,0.109388,1.375,1.25,4.21875,7.8125,7.125,4,4,3.425,2.05,0,6.2956664,1.5739166,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_531,PP DF WL|80-150yr|SC,1.028,1.92,0.3,0.109388,1.1,0.8,2.7,5,5.7,0.2,0,2,2,0,11.589744800000002,2.8974362000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_532,PP DF WL|80-150yr|SC,2.57,1.92,0.3,0.136735,1.54,1.4,4.725,8.75,5.7,0.2,0,2,2,0,11.587450400000002,2.8968626000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5151_533,PP DF WL|80-150yr|SC,0.6425,3.12,0.39,0.136735,1.54,2.1,7.087501,13.125001,11.400001,4,4,3.425,2.05,0,2.6231936,0.6557984,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_111,PP DF WL|80-150yr|SC-Rx|CWD,0.021684,0.18,0.075,0.986056,0.3,0.01,0.155,0.45,0.9,0.9,0.9,0,0,0,13.5418152,3.3854538,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_112,PP DF WL|80-150yr|SC-Rx|CWD,0.038531,0.18,0.075,1.234132,0.6,0.0125,0.19375,0.5625,0.675,0.675,0.675,0.225,0.225,0.225,11.60612,2.90153,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_113,PP DF WL|80-150yr|SC-Rx|CWD,0.038531,0.18,0.075,1.982111,0.6,0.02,0.31,0.9,0.3375,0.3375,0.3375,0.5625,0.5625,0.5625,11.60612,2.90153,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_121,PP DF WL|80-150yr|SC-Rx|CWD,0.002409,0.1,0.025,0.49177800000000005,0.15,0.005,0.0775,0.225,0.75,0.75,0.75,0,0,0,14.586657600000002,3.6466644000000006,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_122,PP DF WL|80-150yr|SC-Rx|CWD,0.009637,0.1,0.025,0.986056,0.6,0.00625,0.096875,0.28125,0.5625,0.5625,0.5625,0.1875,0.1875,0.1875,14.795668000000001,3.6989170000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_123,PP DF WL|80-150yr|SC-Rx|CWD,0.03855,0.1,0.025,1.982111,0.6,0.0066,0.1023,0.297,0.28125,0.28125,0.28125,0.46875,0.46875,0.46875,6.9635456,1.7408864,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_131,PP DF WL|80-150yr|SC-Rx|CWD,0.000096,0.1,0.005,0.098156,0.030000000000000002,0.001,0.0155,0.045,0.5,0.5,0.5,0,0,0,15.8057592,3.9514398,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_132,PP DF WL|80-150yr|SC-Rx|CWD,0.009637,0.1,0.005,0.986056,0.6,0.0015,0.02325,0.0675,0.375,0.375,0.375,0.125,0.125,0.125,15.8928576,3.9732144,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_133,PP DF WL|80-150yr|SC-Rx|CWD,0.03855,0.1,0.005,1.982111,0.6,0.0066,0.1023,0.297,0.1875,0.1875,0.1875,0.3125,0.3125,0.3125,2.9013632000000005,0.7253408000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_211,PP DF WL|80-150yr|SC-Rx|CWD,0.060234,0.32,0.1,1.486583,0.45,0.5,1,1.125,1,1,1,0,0,0,12.161116800000002,3.0402792000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_212,PP DF WL|80-150yr|SC-Rx|CWD,0.060234,0.32,0.1,1.6352419999999999,0.5625,0.375,0.75,0.84375,0.75,0.75,0.75,0.25,0.25,0.25,12.161116800000002,3.0402792000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_213,PP DF WL|80-150yr|SC-Rx|CWD,0.060234,0.32,0.1,1.798766,0.7031259999999999,0.1875,0.375,0.421875,0.75,0.75,0.75,0.625,0.625,0.625,12.161116800000002,3.0402792000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_221,PP DF WL|80-150yr|SC-Rx|CWD,0.086738,0.32,0.1,0.991056,0.3,1,2,1.35,1,1,1,0,0,0,10.836294400000002,2.7090736000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_222,PP DF WL|80-150yr|SC-Rx|CWD,0.086738,0.32,0.1,1.238819,0.45,0.75,1.5,1.0125,0.75,0.75,0.75,0.25,0.25,0.25,10.836294400000002,2.7090736000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_223,PP DF WL|80-150yr|SC-Rx|CWD,0.086738,0.4608,0.12,1.548524,0.675,0.375,0.75,0.50625,0.75,0.75,0.75,0.625,0.625,0.625,10.836294400000002,2.7090736000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_231,PP DF WL|80-150yr|SC-Rx|CWD,0.118059,0.32,0.1,0.495528,0.15,1.5,3,1.8,1,1,1,0,0,0,5.5116192,1.3779048,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_232,PP DF WL|80-150yr|SC-Rx|CWD,0.118059,0.32,0.1,0.7432920000000001,0.225,1.125,2.25,1.35,0.75,0.75,0.75,0.25,0.25,0.25,5.5116192,1.3779048,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_233,PP DF WL|80-150yr|SC-Rx|CWD,0.118059,0.6272,0.14,1.114938,0.3375,0.5625,1.125,0.675,0.75,0.75,0.75,0.625,0.625,0.625,5.5116192,1.3779048,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_311,PP DF WL|80-150yr|SC-Rx|CWD,0.021684,0.18,0.075,1.486583,0.45,0.015,0.2325,0.675,0.9,0.9,0.9,0,0,0,12.161116800000002,3.0402792000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_312,PP DF WL|80-150yr|SC-Rx|CWD,0.038531,0.18,0.075,1.858229,0.675,0.015,0.2325,0.675,0.675,0.675,0.675,0.225,0.225,0.225,12.161116800000002,3.0402792000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_313,PP DF WL|80-150yr|SC-Rx|CWD,0.038531,0.18,0.075,1.982731,0.600076,0.019995,0.309922,0.899775,0.3375,0.3375,0.3375,0.5625,0.5625,0.5625,12.161116800000002,3.0402792000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_321,PP DF WL|80-150yr|SC-Rx|CWD,0.009637,0.1,0.05,0.991056,0.3,0.01,0.155,0.45,0.8,0.8,0.8,0,0,0,10.836294400000002,2.7090736000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_322,PP DF WL|80-150yr|SC-Rx|CWD,0.03855,0.1,0.05,1.486583,0.45,0.01,0.155,0.45,0.6,0.6,0.6,0.2,0.2,0.2,10.836294400000002,2.7090736000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_323,PP DF WL|80-150yr|SC-Rx|CWD,0.03855,0.1,0.05,1.9816159999999998,0.59985,0.0066,0.1023,0.297,0.3,0.3,0.3,0.5,0.5,0.5,10.836294400000002,2.7090736000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_331,PP DF WL|80-150yr|SC-Rx|CWD,0.002409,0.1,0.025,0.495528,0.15,0.005,0.0775,0.225,0.55,0.55,0.55,0,0,0,5.5116192,1.3779048,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_332,PP DF WL|80-150yr|SC-Rx|CWD,0.03855,0.1,0.025,0.7432920000000001,0.225,0.005,0.0775,0.225,0.4125,0.4125,0.4125,0.1375,0.1375,0.1375,5.5116192,1.3779048,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_333,PP DF WL|80-150yr|SC-Rx|CWD,0.03855,0.1,0.025,1.982359,0.600076,0.0066,0.1023,0.297,0.20625,0.20625,0.20625,0.34375,0.34375,0.34375,5.5116192,1.3779048,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_411,PP DF WL|80-150yr|SC-Rx|CWD,0.060234,0.32,0.1,1.7839,0.6,0.03,0.465,1.35,2,2,1,0,0,0,11.1205016,2.7801254,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_412,PP DF WL|80-150yr|SC-Rx|CWD,0.060234,0.5,0.125,1.96229,0.66,0.0225,0.34875,1.0125,1.5,1.5,0.75,0.5,0.5,0.25,11.1205016,2.7801254,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_413,PP DF WL|80-150yr|SC-Rx|CWD,0.03855,0.5,0.125,1.981913,0.66,0.005625,0.087188,0.253125,0.75,0.75,0.375,1.25,1.25,0.625,11.1205016,2.7801254,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_421,PP DF WL|80-150yr|SC-Rx|CWD,0.086738,0.32,0.1,1.387478,0.6,0.2,1,2,3,6.5,1,0,0,0,7.195994400000001,1.7989986000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_422,PP DF WL|80-150yr|SC-Rx|CWD,0.086738,0.72,0.15,1.803721,0.72,0.15,0.75,1.5,2.25,4.875,0.75,0.75,1.625,0.25,7.195994400000001,1.7989986000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_423,PP DF WL|80-150yr|SC-Rx|CWD,0.04879,0.72,0.15,2.344837,0.72,0.0375,0.1875,0.375,1.125,2.4375,0.375,1.875,4.0625,0.625,7.195994400000001,1.7989986000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_431,PP DF WL|80-150yr|SC-Rx|CWD,0.1542,0.32,0.1,0.991056,0.6,0.2,1,2.7,4,6.5,1,0,0,0,3.2714920000000003,0.8178730000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_432,PP DF WL|80-150yr|SC-Rx|CWD,0.1542,1.28,0.2,1.486583,0.9,0.15,0.75,2.025,3,4.875,0.75,1,1.625,0.25,3.2714920000000003,0.8178730000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_433,PP DF WL|80-150yr|SC-Rx|CWD,0.086738,1.28,0.2,2.229875,0.9,0.0375,0.1875,0.50625,1.5,2.4375,0.375,2.5,4.0625,0.625,3.2714920000000003,0.8178730000000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5152_511,PP DF WL|80-150yr|SC-Rx|CWD,0.03855,0.32,0.1,1.982111,0.6,0.02,0.31,0.9,1,1,1,0,0,0,13.542029600000001,3.3855074000000003,User Supplied,User Supplied,User Supplied,User Supplied
