Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5023,PP (hot)|80-150yr|SC-Rx,0.841500,0.16,0.100000,0.564316,0.2,0.100000,0.200000,0.900000,0.400000,1.200000,0.000000,0.400000,0.300000,0.000000,9.029932800000001,2.2574832000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5024,PP (hot)|150+yr|Rx,0.345000,0.16,0.100000,0.0,0.1,0.100000,0.300000,1.800000,2.500000,1.500000,1.500000,0.700000,0.500000,0.500000,14.9128672,3.7282168,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5025,PP (hot)|150+yr|SC-PB,0.287500,0.16,0.100000,0.564316,0.12,0.200000,0.200000,1.000000,0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,10.9945696,2.7486424,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5026,PP (hot)|150+yr|SC-Pile,2.731250,2.28,0.300000,1.132265,0.1,3.000000,1.000000,1.200000,0.400000,0.500000,0.000000,0.400000,0.300000,0.000000,10.9945696,2.7486424,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5027,PP (hot)|150+yr|I&D,3.105000,2.16,0.300000,1.132265,0.1,1.000000,1.700000,3.500000,10.900001,8.900001,2.800000,1.600000,3.100000,0.500000,22.1289808,5.5322452,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5028,PP (hot)|150+yr|High density,3.105000,2.4,0.300000,1.132265,0.1,0.500000,1.500000,3.100000,3.900000,5.800000,0.500000,1.600000,2.800000,0.300000,24.955520800000002,6.2388802000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5029,PP (hot)|150+yr|Low density|Shrub,3.105000,0.16,0.100000,1.132265,0.1,0.500000,1.600000,2.800000,3.000000,2.000000,2.000000,1.500000,1.000000,1.000000,22.959292,5.739823,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5030,PP (hot)|150+yr|Past pile,2.587500,2.28,0.300000,1.132265,0.1,0.500000,1.200000,1.500000,0.700000,1.200000,0.500000,0.500000,0.600000,0.000000,15.804688000000002,3.9511720000000006,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5031,PP (hot)|150+yr|SC-Rx,0.718750,0.16,0.100000,0.564316,0.12,0.100000,0.200000,1.800000,0.800000,0.500000,0.000000,0.300000,0.500000,0.000000,10.9945696,2.7486424,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5032,PP (hot)|150+yr|SC,1.955000,2.28,0.300000,1.132265,0.1,0.500000,0.600000,2.000000,1.500000,2.500000,0.500000,1.000000,1.000000,0.500000,10.9945696,2.7486424,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5033,PP (warm)|0-15yr|CC,0.237000,0.8,0.200000,0.463727,0.25,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,1.600000,0.000000,0.000000,1.2872880000000002,0.32182200000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5034,PP (warm)|0-15yr|WF-Salv,0.237000,0.0,0.000000,0.521636,0.2,0.200000,0.400000,1.800000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.3247840000000002,0.33119600000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5035,PP (warm)|0-15yr|WF,0.244000,0.0,0.000000,0.471636,0.25,0.100000,0.400000,0.700000,4.000000,0.000000,0.000000,0.100000,0.100000,0.000000,5.913676800000001,1.4784192000000003,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5036,PP (warm)|15-25yr|Past CC|High density,0.618200,0.8,0.200000,0.498727,0.35,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,4.8139376,1.2034844,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5037,PP (warm)|15-25yr|Past WF-Salv|High density,0.513000,0.48,0.200000,0.498727,0.2,0.200000,0.400000,1.800000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,4.8139376,1.2034844,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5038,PP (warm)|15-25yr|Past WF|CWD,2.008300,1.52,0.200000,1.359681,0.05,0.200000,1.300000,3.200000,3.200000,1.800000,0.000000,1.800000,0.600000,0.000000,7.437881600000001,1.8594704000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5039,PP (warm)|25-40yr|PCT-Rx,0.224800,0.48,0.200000,1.594908,0.35,0.200000,0.800000,0.500000,1.800000,1.300000,0.000000,2.300000,0.000000,0.000000,4.5391232,1.1347808,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5040,PP (warm)|25-40yr|High density,2.822400,1.536,0.200000,1.391181,0.05,0.200000,1.300000,2.500000,1.800000,2.300000,0.000000,3.300000,0.000000,0.000000,6.72704,1.68176,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5041,PP (warm)|25-40yr|Low density,2.899200,1.536,0.200000,1.391181,0.05,0.100000,1.000000,2.500000,1.700000,2.500000,0.000000,2.500000,2.200000,0.000000,11.264076800000002,2.8160192000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5042,PP (warm)|25-40yr|PCT-Rx|Low density,0.453000,1.536,0.200000,1.391181,0.1,0.100000,1.500000,1.500000,2.400000,0.700000,0.000000,2.500000,2.200000,0.000000,7.4251928,1.8562982,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5043,PP (warm)|40-80yr|Rx,0.117600,0.24,0.100000,1.564908,0.2,0.200000,0.800000,0.500000,1.200000,1.000000,0.000000,2.000000,0.000000,0.000000,9.259149599999999,2.3147873999999997,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5044,PP (warm)|40-80yr|SC-PB,0.441000,0.8,0.200000,1.063272,0.05,0.100000,0.500000,1.000000,0.200000,0.200000,0.200000,0.300000,0.200000,0.000000,9.0089776,2.2522444,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5045,PP (warm)|40-80yr|I&D,4.050000,1.44,0.200000,1.84509,0.3,1.000000,2.500000,3.000000,5.500000,3.000000,2.100000,1.600000,1.500000,0.000000,23.756473600000003,5.939118400000001,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5046,PP (warm)|40-80yr|High density|No tree regen,4.189500,1.52,0.200000,0.429272,0.05,0.200000,1.300000,3.200000,1.800000,3.300000,0.000000,3.300000,0.000000,0.000000,20.575652,5.143913,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5047,PP (warm)|40-80yr|SC-Pile,0.882000,2.304,0.300000,1.391181,0.05,0.500000,1.500000,2.000000,0.300000,0.300000,0.300000,0.300000,0.200000,0.000000,9.0089776,2.2522444,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5048,PP (warm)|40-80yr|High density|Tree regen,3.000000,2.4,0.300000,0.686836,0.01,0.100000,1.000000,2.500000,2.500000,1.500000,0.500000,1.000000,2.000000,0.000000,24.740857600000002,6.1852144000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5049,PP (warm)|40-80yr|SC-Rx,0.441000,0.8,0.200000,1.063272,0.05,0.100000,1.000000,1.500000,0.500000,0.500000,0.500000,0.600000,0.500000,0.000000,9.0089776,2.2522444,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5050,PP (warm)|40-80yr|SC,1.102500,2.304,0.300000,1.391181,0.05,0.500000,2.000000,2.500000,5.000000,0.700000,0.000000,2.500000,2.200000,0.000000,9.0089776,2.2522444,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5051,PP (warm)|40-80yr|Low density,2.880000,1.536,0.200000,1.924908,0.1,0.100000,1.000000,1.500000,0.500000,0.500000,0.500000,0.600000,0.500000,0.000000,13.1538792,3.2884698,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5052,PP (warm)|80-150yr|SC-Pile,1.440600,0.16,0.100000,0.428727,0.2,0.100000,0.500000,0.900000,0.400000,1.200000,0.000000,0.400000,0.300000,0.000000,18.5456864,4.6364216,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5053,PP (warm)|80-150yr|SC-Rx,1.029000,0.16,0.100000,0.511636,0.2,0.100000,0.500000,0.900000,0.400000,1.200000,0.000000,0.400000,0.300000,0.000000,18.5456864,4.6364216,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5054,PP (warm)|80-150yr|SC-PB,0.882000,0.16,0.100000,0.511636,0.2,0.100000,0.300000,0.400000,0.200000,0.200000,0.000000,0.200000,0.100000,0.000000,18.5456864,4.6364216,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5055,PP (warm)|80-150yr|I&D,2.646000,2.28,0.300000,0.461272,0.1,1.000000,1.700000,3.100000,12.000001,6.000000,0.800000,1.600000,2.700000,0.400000,10.082950400000001,2.5207376000000004,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5056,PP (warm)|80-150yr|High density,4.410000,2.4,0.300000,0.461272,0.05,0.500000,1.500000,3.100000,2.600000,3.000000,0.500000,0.900000,2.100000,0.300000,26.558502400000005,6.639625600000001,User Supplied,User Supplied,User Supplied,User Supplied
