FB_0029_FCCS_113,Variable,FB_0165_FCCS_112,FB_0067_FCCS_111,FB_0069_FCCS_111,FB_0175_FCCS_113,FB_0175_FCCS_111,FB_0087_FCCS_113,FB_0170_FCCS_113,FB_0109_FCCS_112,FB_0125_FCCS_113,FB_0067_FCCS_112,FB_0087_FCCS_111,FB_0291_FCCS_113,FB_0291_FCCS_111,FB_0125_FCCS_112,FB_0066_FCCS_112,FB_0067_FCCS_113,FB_0046_FCCS_111,FB_0077_FCCS_112,FB_0071_FCCS_113,FB_0066_FCCS_111,FB_0029_FCCS_112,FB_0077_FCCS_111,FB_0069_FCCS_113,FB_0165_FCCS_111,FB_0170_FCCS_112,FB_0109_FCCS_111,FB_0175_FCCS_112,FB_0125_FCCS_111,FB_0029_FCCS_111,FB_0071_FCCS_112,FB_0109_FCCS_113,FB_0087_FCCS_112,FB_0071_FCCS_111,FB_0077_FCCS_113,FB_0291_FCCS_112,FB_0046_FCCS_112,FB_0170_FCCS_111,FB_0046_FCCS_113,FB_0066_FCCS_113,FB_0165_FCCS_113,FB_0069_FCCS_112
3,eCANOPY_SNAGS_CLASS_3_STEM_DENSITY,0,7,0,0,0,150,3,5,15,7,150,3,3,15,0,7,0,60,0,0,3,60,0,0,3,5,0,15,3,0,5,150,0,60,3,0,3,0,0,0,0
0,eCANOPY_TREES_MIDSTORY_DIAMETER_AT_BREAST_HEIGHT,8,10,0,0,0,0,0,7.5,6,10,0,0,0,6,0,10,0,14,0,0,0,14,0,8,0,7.5,0,6,0,0,7.5,0,0,14,0,0,0,0,0,8,0
0,eCANOPY_TREES_MIDSTORY_HEIGHT,20,58,0,0,0,0,0,44,60,58,0,0,0,60,0,58,0,54,0,0,0,54,0,20,0,44,0,60,0,0,44,0,0,54,0,0,0,0,0,20,0
0,eCANOPY_TREES_MIDSTORY_HEIGHT_TO_LIVE_CROWN,15,30.800000000000004,0.0,0,0.0,0,0,10,40,28,0.0,0,0.0,40,0,28,0.0,25,0,0.0,0,27.500000000000004,0,16.5,0,11.0,0,44.0,0.0,0,10,0,0.0,25,0,0,0.0,0,0,15,0
0,eCANOPY_TREES_MIDSTORY_PERCENT_COVER,5,36.0,0.0,0,0.0,0,0,50,40,40,0.0,0,0.0,40,0,40,0.0,40,0,0.0,0,36.0,0,4.5,0,45.0,0,36.0,0.0,0,50,0,0.0,40,0,0,0.0,0,0,5,0
0,eCANOPY_TREES_MIDSTORY_STEM_DENSITY,10,137.70000000000002,0.0,0,0.0,0,0,150,150,153,0.0,0,0.0,150,0,153,0.0,100,0,0.0,0,90.0,0,9.0,0,135.0,0,135.0,0.0,0,150,0,0.0,100,0,0,0.0,0,0,10,0
9.6,eCANOPY_TREES_OVERSTORY_DIAMETER_AT_BREAST_HEIGHT,12,27,2.8,0,0,2.9,6,14,17,27,2.9,12,12,17,0,27,0,29,10.6,0,9.6,29,2.8,12,6,14,0,17,9.6,10.6,14,2.9,10.6,29,12,0,6,0,0,12,2.8
100,eCANOPY_TREES_OVERSTORY_HEIGHT,70,105,7.2,0,0,25,25,60,100,105,25,78,78,100,0,105,0,110,34.7,0,100,110,7.2,70,25,60,0,100,100,34.7,60,25,34.7,110,78,0,25,0,0,70,7.2
20,eCANOPY_TREES_OVERSTORY_HEIGHT_TO_LIVE_CROWN,45,60.50000000000001,0.8800000000000001,0,0.0,4,10.5,20,60,55,4.4,55,60.50000000000001,60,0,55,0.0,68,13.2,0.0,20,74.80000000000001,0.8,49.50000000000001,10.5,22.0,0,66.0,22.0,13.2,20,4,14.52,68,55,0,11.55,0,0,45,0.8
40,eCANOPY_TREES_OVERSTORY_PERCENT_COVER,5,18.0,0.9,0,0.0,80,20,50,55,20,72.0,50,45.0,55,0,20,0.0,20,21,0.0,40,18.0,1,4.5,20,45.0,0,49.5,36.0,21,50,80,18.900000000000002,20,50,0,18.0,0,0,5,1
